中文名称,文件名,别名,英文名称,国籍,研发机构,任务类型,轨道类型,轨道高度,轨道倾角,运载火箭,发射日期,发射基地,设计寿命,质量,国际卫星标识符,NORAD,备注
莫电子AIS,MIET-AIS.jpg,,MIET-AIS (RS 28S),俄罗斯,[[斯普特尼克斯]],技术试验,,,,[[联盟2]]-1b Fregat,2022年08月9日,[[拜科努尔航天发射场|拜]] LC-31/6,,,2022-096H,53377,
监视器1号,"Monitor 1 (KODIZ, RS 32S).jpg",,"Monitor 1 (KODIZ, RS 32S)",俄罗斯,[[斯普特尼克斯]],技术试验,,,,[[联盟2]]-1b Fregat,2022年08月9日,[[拜科努尔航天发射场|拜]] LC-31/6,,,2022-096E,53374,
环球扫描-埃德尔维斯,Geoskan-Edelveis (RS 20S).jpg,,Geoskan-Edelveis (RS 20S),俄罗斯,[[斯普特尼克斯]],技术试验,,,,[[联盟2]]-1b Fregat,2022年08月9日,[[拜科努尔航天发射场|拜]] LC-31/6,,,2022-096R,53385,
秋明大学号,UTMN.jpg,,UTMN (RS 23S),俄罗斯,[[斯普特尼克斯]],技术试验,,,,[[联盟2]]-1b Fregat,2022年08月9日,[[拜科努尔航天发射场|拜]] LC-31/6,,,2022-096G,53376,
列舍特涅夫大学立方星,ReshUCube.jpg,,ReshUCube (RS 8S),俄罗斯,[[斯普特尼克斯]],技术试验,,,,[[联盟2]]-1b Fregat,2022年08月9日,[[拜科努尔航天发射场|拜]] LC-31/6,,,2022-096N,53382,
阿扎迪卫星,AzaadiSAT.jpg,,AzaadiSAT,印度,[[太空儿童-印度]],科学与教育,,,,[[印度小型卫星发射器]],2022年08月7日,[[萨迪什·达万航天中心|萨]] FLP,,8 kg,2022-F04,,
天基红外系统GEO-6,"SBIRS-GEO 5, 6.jpg",,SBIRS-GEO 6 (USA 336),美国,[[洛克希德·马丁]],军事（预警）,[[GEO]],,,[[宇宙神5]](421)²,2022年08月4日,[[卡纳维拉尔角太空军基地|卡]] SLC-41,12年,~ 4500 kg,2022-092A,53355,天基红外系统GEO系列
闵行少年星,Minhang Shaonian.jpg,,Minhang Shaonian,中国,,,[[SSO]],517 km ,,[[长征四号乙]],2022年08月4日,[[太原卫星发射中心|太原]] LC-9,4年,~500 kg,2022-090,53346,
句芒号,TECIS (Guomang).jpg,,TECIS (Guomang),中国,,科学与教育（地球科学）,[[SSO]],517 km ,,[[长征四号乙]],2022年08月4日,[[太原卫星发射中心|太原]] LC-9,4年,~500 kg,2022-090,,
北京三号B星,Beijing 3B.jpg,,Beijing 3B (Nanning 1),中国,[[五院]],遥感,,,,[[长征二号丁]] (2),2022年08月24日,[[太原卫星发射中心|太原]] LC-9,8年,,2022-103A,53587,
