卫星,image,中文名称,英文名称,国籍,研发机构,任务类型,轨道类型,轨道高度,轨道倾角,运载火箭,发射日期,发射基地,设计寿命,质量,国际卫星标识符,NORAD,备注,文件名
天文投射0304,"Astrocast 0101, ..., TBD",,Astrocast 0304,Switzerland,,Communication M2M/IoT,,,,PSLV-XL,2022年11月26日,Sr FLP,,5 kg,2022-158G,,天文投射系列,
电磁组装试验1号,"DZS 1, 2",,DZS 1,China,CAS,Technology,,,,Zhongke-1A (Lijian-1),2022年7月27日,Jq LP-43/130,,95 kg (#1 and #2 combined),2022-087,,,
电磁组装试验2号,"DZS 1, 2",,DZS 2,China,CAS,Technology,,,,Zhongke-1A (Lijian-1),2022年7月27日,Jq LP-43/130,,95 kg (#1 and #2 combined),2022-087,,,
洛马太空升级卫星系统1号,"LINUSS 1, 2 (LINUS-A 1, 2)",,LINUSS 1 (LINUS-A 1),USA,"Lockheed Martin (prime), Tyvak (bus)",Technology,,GEO,,Falcon-Heavy (Block 5)(px),2022年11月1日,CCK LC-39A,,,2022-144,,,
洛马太空升级卫星系统2号,"LINUSS 1, 2 (LINUS-A 1, 2)",,LINUSS 2 (LINUS-A 2),USA,"Lockheed Martin (prime), Tyvak (bus)",Technology,,GEO,,Falcon-Heavy (Block 5)(px),2022年11月1日,CCK LC-39A,,,2022-144,,,
蒂博特1号,"Thybolt 1, 2",,Thybolt 1,India,Dhruva Space,"Technology, communications",,,,PSLV-XL,2022年11月26日,Sr FLP,1 year,0.5 kg,2022-158C,,,
蒂博特2号,"Thybolt 1, 2",,Thybolt 2,India,Dhruva Space,"Technology, communications",,,,PSLV-XL,2022年11月26日,Sr FLP,1 year,0.5 kg,2022-158D,,,
昴宿星Neo 5,"Pléiades-Neo 3, 4, 5, 6 (VHR-2020 1, 2, 3, 4)",,Pléiades-Neo 5 (VHR-2020 3),France,Airbus Defence and Space,Earth observation,,"623 km × 626 km, 97.90° (#1); 615 km × 617 km, 97.90° (#2)",,Vega-C,2022年12月21日,Ko ELV,10 years,920 kg,2022-F07,,昂宿星卫星系列,
昴宿星Neo 6,"Pléiades-Neo 3, 4, 5, 6 (VHR-2020 1, 2, 3, 4)",,Pléiades-Neo 6 (VHR-2020 4),France,Airbus Defence and Space,Earth observation,,"623 km × 626 km, 97.90° (#1); 615 km × 617 km, 97.90° (#2)",,Vega-C,2022年12月21日,Ko ELV,10 years,920 kg,2022-F07,,昂宿星卫星系列,
欧洲卫星公司20号,"SES 20, 21",,SES 20,USA,Boeing Satellite Systems,Communication,,GEO,,Atlas-5(531),2022年10月4日,CC SLC-41,15 years,~1500 (#20); ~1700 (#21),2022-123A,,欧洲卫星公司卫星系列,
